Position,PositionText,Points,DriverId,GivenName,FamilyName,Race,Race_name
13,13,0,zhou,Guanyu,Zhou,16,Japanese Grand Prix
14,14,0,hulkenberg,Nico,Hülkenberg,16,Japanese Grand Prix
15,15,0,kevin_magnussen,Kevin,Magnussen,16,Japanese Grand Prix
16,R,0,albon,Alexander,Albon,16,Japanese Grand Prix
17,R,0,sargeant,Logan,Sargeant,16,Japanese Grand Prix
18,R,0,stroll,Lance,Stroll,16,Japanese Grand Prix
19,R,0,perez,Sergio,Pérez,16,Japanese Grand Prix
20,R,0,bottas,Valtteri,Bottas,16,Japanese Grand Prix
1,1,26,max_verstappen,Max,Verstappen,17,Qatar Grand Prix
2,2,18,piastri,Oscar,Piastri,17,Qatar Grand Prix
3,3,15,norris,Lando,Norris,17,Qatar Grand Prix
4,4,12,russell,George,Russell,17,Qatar Grand Prix
5,5,10,leclerc,Charles,Leclerc,17,Qatar Grand Prix
6,6,8,alonso,Fernando,Alonso,17,Qatar Grand Prix
7,7,6,ocon,Esteban,Ocon,17,Qatar Grand Prix
8,8,4,bottas,Valtteri,Bottas,17,Qatar Grand Prix
9,9,2,zhou,Guanyu,Zhou,17,Qatar Grand Prix
10,10,1,perez,Sergio,Pérez,17,Qatar Grand Prix
11,11,0,stroll,Lance,Stroll,17,Qatar Grand Prix
12,12,0,gasly,Pierre,Gasly,17,Qatar Grand Prix
13,13,0,albon,Alexander,Albon,17,Qatar Grand Prix
14,14,0,kevin_magnussen,Kevin,Magnussen,17,Qatar Grand Prix
15,15,0,tsunoda,Yuki,Tsunoda,17,Qatar Grand Prix
16,16,0,hulkenberg,Nico,Hülkenberg,17,Qatar Grand Prix
17,17,0,lawson,Liam,Lawson,17,Qatar Grand Prix
18,R,0,sargeant,Logan,Sargeant,17,Qatar Grand Prix
19,R,0,hamilton,Lewis,Hamilton,17,Qatar Grand Prix
20,W,0,sainz,Carlos,Sainz,17,Qatar Grand Prix
1,1,25,max_verstappen,Max,Verstappen,18,United States Grand Prix
2,2,18,norris,Lando,Norris,18,United States Grand Prix
3,3,15,sainz,Carlos,Sainz,18,United States Grand Prix
4,4,12,perez,Sergio,Pérez,18,United States Grand Prix
5,5,10,russell,George,Russell,18,United States Grand Prix
6,6,8,gasly,Pierre,Gasly,18,United States Grand Prix
7,7,6,stroll,Lance,Stroll,18,United States Grand Prix
8,8,5,tsunoda,Yuki,Tsunoda,18,United States Grand Prix
9,9,2,albon,Alexander,Albon,18,United States Grand Prix
10,10,1,sargeant,Logan,Sargeant,18,United States Grand Prix
11,11,0,hulkenberg,Nico,Hülkenberg,18,United States Grand Prix
12,12,0,bottas,Valtteri,Bottas,18,United States Grand Prix
13,13,0,zhou,Guanyu,Zhou,18,United States Grand Prix
14,14,0,kevin_magnussen,Kevin,Magnussen,18,United States Grand Prix
15,15,0,ricciardo,Daniel,Ricciardo,18,United States Grand Prix
16,R,0,alonso,Fernando,Alonso,18,United States Grand Prix
17,R,0,piastri,Oscar,Piastri,18,United States Grand Prix
18,R,0,ocon,Esteban,Ocon,18,United States Grand Prix
19,D,0,hamilton,Lewis,Hamilton,18,United States Grand Prix
20,D,0,leclerc,Charles,Leclerc,18,United States Grand Prix
1,1,25,max_verstappen,Max,Verstappen,19,Mexico City Grand Prix
2,2,19,hamilton,Lewis,Hamilton,19,Mexico City Grand Prix
